Name,Rating,Address,City,State,ZIP Code,Latitude,Longitude
Panificadora Pepita,4.5,"CLN 103 BL D, 11",Brasília,DF,70732-540,-15.77162,-47.88897
Restaurante Manara,4.0,SCRN 706-707,Brasília,DF,70740-650,-15.77162,-47.88897
Pizzaria Molho de Tomate,4.0,"204 Norte, bloco D - loja 3",Brasília,DF,,-15.77162,-47.88897
Koni,4.0,CLN 107 Bloco D,Asa Norte,DF,70743-587,-15.77162,-47.88897
Santo Frango,5.0,SEPN 506,Brasília,DF,70740504,-15.77162,-47.88897
Esquina Mineira,4.5,SCRN 704/705 BL D  lj 42,Brasília,DF,70730-640,-15.77162,-47.88897
Mistura Fina Crepe & Pizza,4.5,SCLN 409 Bloco C Loja 15,Brasília,DF,70856-530,-15.77162,-47.88897
Pizzas Dom Bosco,4.0,"CLN 306 Bloco C, 46",Brasília,DF,70745-530,-15.77162,-47.88897
Habib's,2.5,SEPN 505 BL D  lt 75,Brasília,DF,70730-544,-15.77162,-47.88897
Dudu Camargo Bar & Restaurante,4.5,"CLS, 303",Brasília,DF,70336-510,-15.80585,-47.89368
Fratello Uno Pizzaria,4.5,"CLS, 103",Brasília,DF,70343-530,-15.80585,-47.89368
Marvin American Burguer,4.0,CLS 103 BL A  lj 2,Brasília,DF,70342-510,-15.80585,-47.89368
Restaurante China,4.0,CLS 103 BL D  lj 2,Brasília,DF,70342-540,-15.80585,-47.89368
Inácia Poulet Rôti,4.0,"CLS 103 Bloco B, 34",Sudoeste,DF,70342-520,-15.80585,-47.89368
Mr Brownie,4.0,CLS 103,Brasília,DF,70744-540,-15.80585,-47.89368
Carpe Diem,4.5,CLS 104 BL D  lj 1,Brasília,DF,70343-540,-15.80585,-47.89368
Dona Lenha,4.5,"SCLS, 202",Brasília,DF,70232-535,-15.80585,-47.89368
Bar Brasília,4.0,CRS 506 BL A  lj 15,Brasília,DF,70350-515,-15.80585,-47.89368
L'entrecôte de Paris,4.0,CLS 402,Brasília,DF,70237-540,-15.80585,-47.89368
Peixe na Rede,5.0,CLS 405,Brasília,DF,70632-100,-15.80585,-47.89368
Loca Como Tu Madre,4.0,"Comércio Local Sul, 306",Brasília,DF,70353-530,-15.80585,-47.89368
Zimbrus,4.0,CLS 305 BL D  lj 1,Brasília,DF,70352-540,-15.80585,-47.89368
Estação do Guaraná,4.0,CLS 106 BL B  lj 3,Brasília,DF,70345-520,-15.80585,-47.89368
Nippon Restaurante,4.0,CLS 403 BL A  lj 28,Brasília,DF,70237-510,-15.80585,-47.89368
Sky's Burger,4.0,CLS 106,Brasília,DF,70345-520,-15.80585,-47.89368
The Plant,4.0,"CLS, 103",Brasília,DF,70342-530,-15.80585,-47.89368
DNA Natural,3.5,"CLS 104, 01",Plano Piloto,DF,70382-520,-15.80585,-47.89368
Fred Restaurante,4.0,SCLS 405,Brasília,DF,70239-520,-15.80585,-47.89368
La Boulangerie,4.0,"SQS 306 Bloco B, 10",Brasília,DF,70353-020,-15.80585,-47.89368
Bar Brasília,4.0,CRS 506 BL A  lj 15,Brasília,DF,70350-515,-15.80786,-47.90086
